１　交通事故発生状況の推移,,,,,,,,,,
,,,,,,,,,,
,,,発生件数,発生件数,負傷者数,負傷者数,死者数,死者数,人口10万人当たり死者数,人口10万人当たり死者数
時間軸コード,和暦（暦年）,西暦（暦年）,件,指数,人,指数,人,指数,人,指数
2014000000,平成26年,2014,573842 ,80 ,711374 ,73 ,4113 ,25 ,3.23,20
2015000000,平成27年,2015,536899 ,75 ,666023 ,68 ,4117 ,25 ,3.24,20
2016000000,平成28年,2016,499201 ,70 ,618853 ,63 ,3904 ,23 ,3.07,19
2017000000,平成29年,2017,472165 ,66 ,580850 ,59 ,3694 ,22 ,2.91,18
2018000000,平成30年,2018,430601 ,60 ,525846 ,54 ,3532 ,21 ,2.79,17
2019000000,令和元年,2019,381237 ,53 ,461775 ,47 ,3215 ,19 ,2.54,16
2020000000,令和２年,2020,309178 ,43 ,369476 ,38 ,2839 ,17 ,2.25,14
2021000000,令和３年,2021,305196 ,43 ,362131 ,37 ,2636 ,16 ,2.09,13
2022000000,令和４年,2022,300839 ,42 ,356601 ,36 ,2610 ,16 ,2.08,13
2023000000,令和５年,2023,307930 ,43 ,365595 ,37 ,2678 ,16 ,2.14,13
2024000000,令和６年,2024,290895 ,41 ,344395 ,35 ,2663 ,16 ,2.14,13
2025000000,令和７年,2025,287236 ,40 ,338294 ,34 ,2547 ,15 ,2.06,13
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
